id,initial_review_count,initial_positive_review_count,initial_negative_review_count,initial_top_critic_review_count,initial_positive_review_ratio,initial_combined_sentiment_score,initial_combined_sentiment_label,log_initial_review_count,first_review_date,last_review_date_in_window
1052529-black_beauty,1,1,0,1,1.0,1.0,positive,0.6931471805599453,1994-07-29,1994-07-29
1053155-lassie,1,1,0,1,1.0,1.0,positive,0.6931471805599453,1994-07-22,1994-07-22
1055833-angels_in_the_outfield,1,0,1,1,0.0,-1.0,negative,0.6931471805599453,1994-07-15,1994-07-15
1059629-quick_and_the_dead,1,1,0,0,1.0,1.0,positive,0.6931471805599453,1995-02-10,1995-02-10
1065684-braveheart,1,1,0,1,1.0,1.0,positive,0.6931471805599453,1995-05-26,1995-05-26
1068177-richard_iii,1,1,0,0,1.0,1.0,positive,0.6931471805599453,1995-12-29,1995-12-29
1071167-twister,1,1,0,0,1.0,1.0,positive,0.6931471805599453,1996-05-10,1996-05-10
1072011-rock,1,1,0,1,1.0,1.0,positive,0.6931471805599453,1996-06-07,1996-06-07
1073037-hunchback_of_notre_dame,1,1,0,1,1.0,1.0,positive,0.6931471805599453,1996-06-21,1996-06-21
1073427-selena,1,1,0,0,1.0,1.0,positive,0.6931471805599453,1997-03-21,1997-03-21
1073595-sleepers,1,1,0,0,1.0,1.0,positive,0.6931471805599453,1996-10-18,1996-10-18
1074022-lone_star,1,1,0,1,1.0,1.0,positive,0.6931471805599453,1996-06-21,1996-06-21
1074316-scream,1,1,0,1,1.0,1.0,positive,0.6931471805599453,1996-12-20,1996-12-20
1075984-iron_monkey,34,32,2,16,0.9411764705882352,0.9047619047619048,positive,3.555348061489413,2001-10-12,2001-10-18
1076267-volcano,2,2,0,0,1.0,1.0,positive,1.0986122886681098,1997-04-25,1997-04-25
